O*NET-SOC Code	Task ID	Task	Green Task Type	Date	Domain Source
13-2099.01	19572	Analyze pricing or risks of carbon trading products.	New Green Task	07/2013	Analyst
13-2099.01	19573	Assess the potential impact of climate change on business financial issues, such as damage repairs, insurance costs, or potential disruptions of daily activities.	New Green Task	07/2013	Analyst
13-2099.01	19574	Develop methods of assessing or measuring corporate performance in terms of environmental, social, and governance (ESG) issues.	New Green Task	07/2013	Analyst
13-2099.01	19575	Develop solutions to help clients hedge carbon exposure or risk.	New Green Task	07/2013	Analyst
13-2099.01	19576	Develop tools to assess green technologies or green financial products, such as green hedge funds or social responsibility investment funds.	New Green Task	07/2013	Analyst
13-2099.02	19577	Determine potential environmental impacts of new products or processes on long-term growth and profitability.	New Green Task	07/2011	Analyst
13-2099.02	19578	Determine potential liability related to the use of more sustainable methods of product packaging, such as biodegradable food containers.	New Green Task	07/2011	Analyst
13-2099.02	19579	Evaluate the risks and benefits involved in implementing green building technologies.	New Green Task	07/2011	Analyst
13-2099.02	19580	Evaluate the risks related to green investments, such as renewable energy company stocks.	New Green Task	07/2011	Analyst
13-2099.03	19581	Arrange deals involving green investments in areas such as alternative energy product development, green technologies, or sustainable agriculture.	New Green Task	07/2013	Analyst
13-2099.03	19582	Specialize in green financial instruments, such as socially responsible mutual funds or exchange-traded funds (ETF) that are comprised of green companies.	New Green Task	07/2013	Analyst
15-1199.04	19583	Apply three-dimensional (3D) or four-dimensional (4D) technologies to geospatial data to allow for new or different analyses or applications.	New Green Task	07/2011	Analyst
15-1199.04	19584	Develop new applications for geospatial technology in areas such as farmland preservation, pollution measurement, or utilities operations management.	New Green Task	07/2011	Analyst
15-1199.05	19585	Analyze Geographic Information Systems (GIS) data for use in urban planning applications that promote better land use or reduce environmental impacts of development.	New Green Task	07/2011	Analyst
15-1199.05	19586	Analyze Geographic Information Systems (GIS) data to determine the best locations for renewable energy sites, including solar or wind energy installations.	New Green Task	07/2011	Analyst
15-1199.05	19587	Apply Geographic Information Systems (GIS) data in transportation routing settings to determine the best routing to reduce pollution or energy consumption.	New Green Task	07/2011	Analyst
15-1199.05	19588	Confer with biologists or other researchers in the use of Geographic Information Systems (GIS) data to define wildlife areas or corridors for land use planning.	New Green Task	07/2011	Analyst
15-1199.05	19589	Participate in projects that map changes in carbon emissions levels across different geographic locations, using Geographic Information Systems (GIS) data.	New Green Task	07/2011	Analyst
17-1011.00	19596	Plan or design structures such as residences, office buildings, theatres, factories, or other structural properties in accordance with environmental, safety, or other regulations.	New Green Task	07/2014	Occupational Expert
17-1011.00	19592	Design or plan construction of green building projects to minimize adverse environmental impact or conserve energy.	New Green Task	07/2014	Occupational Expert
17-1011.00	19593	Design structures that incorporate environmentally friendly building practices or concepts, such as Leadership in Energy and Environmental Design (LEED) standards.	New Green Task	07/2014	Occupational Expert
17-1011.00	19595	Perform predesign services, such as feasibility or environmental impact studies.	New Green Task	07/2014	Occupational Expert
17-1011.00	19591	Design environmentally sound structural upgrades to existing buildings, such as natural lighting systems, green roofs, or rainwater collection systems.	New Green Task	07/2014	Occupational Expert
17-1011.00	19594	Gather information related to projects' environmental sustainability or operational efficiency.	New Green Task	07/2014	Occupational Expert
17-1011.00	19590	Calculate potential energy savings by comparing estimated energy consumption of proposed design to baseline standards.	New Green Task	07/2014	Occupational Expert
17-1012.00	20371	Analyze data on conditions such as site location, drainage, or structure location for environmental reports or landscaping plans.	Existing Green Task	07/2013	Occupational Expert
17-1012.00	19598	Create landscapes that minimize water consumption such as by incorporating drought-resistant grasses or indigenous plants.	New Green Task	07/2013	Occupational Expert
17-1012.00	19597	Collaborate with architects or related professionals on whole building design to maximize the aesthetic features of structures or surrounding land and to improve energy efficiency.	New Green Task	07/2013	Occupational Expert
17-1012.00	19600	Identify and select appropriate sustainable materials for use in landscape designs, such as using recycled wood or recycled concrete boards for structural elements or recycled tires for playground bedding.	New Green Task	07/2013	Occupational Expert
17-1012.00	19599	Design and integrate rainwater harvesting or gray and reclaimed water systems to conserve water into building or land designs.	New Green Task	07/2013	Occupational Expert
17-2011.00	1337	Plan or conduct experimental, environmental, operational, or stress tests on models or prototypes of aircraft or aerospace systems or equipment.	Existing Green Task	07/2015	Incumbent
17-2011.00	20724	Formulate conceptual design of aeronautical or aerospace products or systems to meet customer requirements or conform to environmental regulations.	Existing Green Task	07/2015	Incumbent
17-2011.00	20725	Evaluate product data or design from inspections or reports for conformance to engineering principles, customer requirements, environmental regulations, or quality standards.	Existing Green Task	07/2015	Incumbent
17-2011.00	20726	Develop design criteria for aeronautical or aerospace products or systems, including testing methods, production costs, quality standards, environmental standards, or completion dates.	Existing Green Task	07/2015	Incumbent
17-2011.00	19604	Research new materials to determine quality or conformance to environmental standards.	New Green Task	07/2015	Incumbent
17-2011.00	19605	Review aerospace engineering designs to determine how to reduce negative environmental impacts.	New Green Task	07/2015	Incumbent
17-2011.00	19601	Design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions.	New Green Task	07/2015	Incumbent
17-2011.00	19602	Design or engineer filtration systems that reduce harmful emissions.	New Green Task	07/2011	Analyst
17-2011.00	19603	Evaluate biofuel performance specifications to determine feasibility for aerospace applications.	New Green Task	07/2011	Analyst
17-2051.00	152	Prepare or present public reports on topics such as bid proposals, deeds, environmental impact statements, or property and right-of-way descriptions.	Existing Green Task	07/2014	Occupational Expert
17-2051.00	19607	Design energy efficient or environmentally sound civil structures.	New Green Task	07/2014	Occupational Expert
17-2051.00	19611	Identify environmental risks and develop risk management strategies for civil engineering projects.	New Green Task	07/2014	Occupational Expert
17-2051.00	19610	Direct engineering activities ensuring compliance with environmental, safety, or other governmental regulations.	New Green Task	07/2014	Occupational Expert
17-2051.00	155	Conduct studies of traffic patterns or environmental conditions to identify engineering problems and assess potential project impact.	Existing Green Task	07/2014	Occupational Expert
17-2051.00	19608	Design or engineer systems to efficiently dispose of chemical, biological, or other toxic wastes.	New Green Task	07/2014	Occupational Expert
17-2051.00	19609	Develop or implement engineering solutions to clean up industrial accidents or other contaminated sites.	New Green Task	07/2014	Occupational Expert
17-2051.00	19606	Analyze manufacturing processes or byproducts to identify engineering solutions to minimize the output of carbon or other pollutants.	New Green Task	07/2014	Occupational Expert
17-2051.01	16321	Analyze environmental impact statements for transportation projects.	Existing Green Task	07/2011	Occupational Expert
17-2051.01	19612	Design or engineer drainage, erosion, or sedimentation control systems for transportation projects.	New Green Task	07/2011	Analyst
17-2051.01	19613	Design transportation systems or structures using sustainable materials or products, such as porous pavement or bioretention structures.	New Green Task	07/2011	Analyst
17-2051.01	19614	Develop plans to deconstruct damaged or obsolete roadways or other transportation structures in a manner that is environmentally sound or prepares the land for sustainable development.	New Green Task	07/2011	Analyst
17-2051.01	19615	Evaluate construction project materials for compliance with environmental standards.	New Green Task	07/2011	Analyst
17-2051.01	19616	Inspect completed transportation projects to ensure compliance with environmental regulations.	New Green Task	07/2011	Analyst
17-2071.00	20731	Inspect completed installations and observe operations to ensure conformance to design and equipment specifications and compliance with operational, safety, or environmental standards.	Existing Green Task	07/2015	Incumbent
17-2071.00	19617	Design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting.	New Green Task	07/2015	Incumbent
17-2071.00	19618	Develop systems that produce electricity using renewable energy sources, such as wind, solar, or biofuels.	New Green Task	07/2015	Incumbent
17-2071.00	19619	Integrate electrical systems with renewable energy systems to improve overall efficiency.	New Green Task	07/2015	Incumbent
17-2072.00	20498	Recommend repair or design modifications of electronics components or systems, based on factors such as environment, service, cost, or system capabilities.	Existing Green Task	07/2014	Incumbent
17-2072.00	19622	Research or develop electronics technologies for use in electric-drive vehicles.	New Green Task	07/2014	Incumbent
17-2072.00	19623	Research or develop new green electronics technologies, such as lighting, optical data storage devices, or energy efficient televisions.	New Green Task	07/2014	Incumbent
17-2072.00	19620	Develop solar photovoltaic products, such as inverters or energy management systems.	New Green Task	07/2014	Incumbent
17-2072.00	19621	Investigate green consumer electronics applications for consumer electronic devices, power saving devices for computers or televisions, or energy efficient power chargers.	New Green Task	07/2014	Incumbent
17-2081.00	15210	Design or supervise the design of systems, processes, or equipment for control, management, or remediation of water, air, or soil quality.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1374	Advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	20195	Collaborate with environmental scientists, planners, hazardous waste technicians, engineers, experts in law or business, or other specialists to address environmental problems.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1368	Obtain, update, or maintain plans, permits, or standard operating procedures.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1381	Serve as liaison with federal, state, or local agencies or officials on issues pertaining to solid or hazardous waste program requirements.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1369	Provide technical support for environmental remediation or litigation projects, including remediation system design or determination of regulatory applicability.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1366	Prepare, review, or update environmental investigation or recommendation reports.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1379	Develop site-specific health and safety protocols, such as spill contingency plans or methods for loading or transporting waste.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1371	Inspect industrial or municipal facilities or programs to evaluate operational effectiveness or ensure compliance with environmental regulations.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	20196	Provide assistance with planning, quality assurance, safety inspection protocols, or sampling as part of a team conducting multimedia inspections at complex facilities.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	19625	Prepare or present public briefings on the status of environmental engineering projects.	New Green Task	07/2012	Occupational Expert
17-2081.00	1373	Develop proposed project objectives and targets and report to management on progress in attaining them.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1380	Coordinate or manage environmental protection programs or projects, assigning or evaluating work.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1375	Advise industries or government agencies about environmental policies and standards.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	19624	Direct installation or operation of environmental monitoring devices or supervise related data collection programs.	New Green Task	07/2012	Occupational Expert
17-2081.00	1370	Monitor progress of environmental improvement programs.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1383	Prepare hazardous waste manifests or land disposal restriction notifications.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1377	Assess the existing or potential environmental impact of land use projects on air, water, or land.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	20197	Prepare, maintain, or revise quality assurance documentation or procedures.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1378	Assist in budget implementation, forecasts, or administration.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1390	Provide environmental engineering assistance in network analysis, regulatory analysis, or planning or reviewing database development.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1376	Inform company employees or other interested parties of environmental issues.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1385	Develop or present environmental compliance training or orientation sessions.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1372	Provide administrative support for projects by collecting data, providing project documentation, training staff, or performing other general administrative duties.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1388	Assess, sort, characterize, or pack known or unknown materials.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1389	Request bids from suppliers or consultants.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	1387	Develop, implement, or manage plans or programs related to conservation or management of natural resources.	Existing Green Task	07/2012	Occupational Expert
17-2081.00	19626	Write reports or articles for Web sites or newsletters related to environmental engineering issues.	New Green Task	07/2012	Occupational Expert
17-2081.01	16327	Provide technical direction or supervision to junior engineers, engineering or computer-aided design (CAD) technicians, or other technical personnel.	New Green Task	07/2012	Occupational Expert
17-2081.01	16337	Conduct feasibility studies for the construction of facilities, such as water supply systems, run-off collection networks, water and wastewater treatment plants, or wastewater collection systems.	New Green Task	07/2012	Occupational Expert
17-2081.01	16349	Design pumping systems, pumping stations, pipelines, force mains, or sewers for the collection of wastewater.	New Green Task	07/2012	Occupational Expert
17-2081.01	16350	Design domestic or industrial water or wastewater treatment plants, including advanced facilities with sequencing batch reactors (SBR), membranes, lift stations, headworks, surge overflow basins, ultraviolet disinfection systems, aerobic digesters, sludge lagoons, or control buildings.	New Green Task	07/2012	Occupational Expert
17-2081.01	16341	Analyze storm water or floodplain drainage systems to control erosion, stabilize river banks, repair channel streams, or design bridges.	New Green Task	07/2012	Occupational Expert
17-2081.01	16347	Design water distribution systems for potable or nonpotable water.	New Green Task	07/2012	Occupational Expert
17-2081.01	16330	Design or select equipment for use in wastewater processing to ensure compliance with government standards.	New Green Task	07/2012	Occupational Expert
17-2081.01	16328	Identify design alternatives for the development of new water resources.	New Green Task	07/2012	Occupational Expert
17-2081.01	16346	Design water or wastewater lift stations, including water wells.	New Green Task	07/2012	Occupational Expert
17-2081.01	16334	Perform hydraulic analyses of water supply systems or water distribution networks to model flow characteristics, test for pressure losses, or to identify opportunities to mitigate risks and improve operational efficiency.	New Green Task	07/2012	Occupational Expert
17-2081.01	16336	Gather and analyze water use data to forecast water demand.	New Green Task	07/2012	Occupational Expert
17-2081.01	16344	Design water storage tanks or other water storage facilities.	New Green Task	07/2012	Occupational Expert
17-2081.01	16339	Conduct cost-benefit analyses for the construction of water supply systems, run-off collection networks, water and wastewater treatment plants, or wastewater collection systems.	New Green Task	07/2012	Occupational Expert
17-2081.01	16343	Analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.	New Green Task	07/2012	Occupational Expert
17-2081.01	16325	Review and critique proposals, plans, or designs related to water or wastewater treatment systems.	New Green Task	07/2012	Occupational Expert
17-2081.01	16324	Write technical reports or publications related to water resources development or water use efficiency.	New Green Task	07/2012	Occupational Expert
17-2081.01	16348	Design sludge treatment plants.	New Green Task	07/2012	Occupational Expert
17-2081.01	16331	Conduct water quality studies to identify and characterize water pollutant sources.	New Green Task	07/2012	Occupational Expert
17-2081.01	16326	Provide technical support on water resource or treatment issues to government agencies.	New Green Task	07/2012	Occupational Expert
17-2081.01	16342	Analyze and recommend sludge treatment or disposal methods.	New Green Task	07/2012	Occupational Expert
17-2081.01	16345	Design water run-off collection networks, water supply channels, or water supply system networks.	New Green Task	07/2012	Occupational Expert
17-2081.01	16333	Perform hydrological analyses, using three-dimensional simulation software, to model the movement of water or forecast the dispersion of chemical pollutants in the water supply.	New Green Task	07/2012	Occupational Expert
17-2081.01	16335	Oversee the construction of decentralized or on-site wastewater treatment systems, including reclaimed water facilities.	New Green Task	07/2012	Occupational Expert
17-2081.01	16329	Develop plans for new water resources or water efficiency programs.	New Green Task	07/2012	Occupational Expert
17-2081.01	16340	Analyze the efficiency of water delivery structures, such as dams, tainter gates, canals, pipes, penstocks, or cofferdams.	New Green Task	07/2012	Occupational Expert
17-2081.01	16338	Conduct environmental impact studies related to water and wastewater collection, treatment, or distribution.	New Green Task	07/2012	Occupational Expert
17-2081.01	16332	Perform mathematical modeling of underground or surface water resources, such as floodplains, ocean coastlines, streams, rivers, or wetlands.	New Green Task	07/2012	Occupational Expert
17-2141.00	20736	Specify system components or direct modification of products to ensure conformance with engineering design, performance specifications, or environmental regulations.	Existing Green Task	07/2015	Incumbent
17-2141.00	19631	Recommend the use of utility or energy services that minimize carbon footprints.	New Green Task	07/2015	Incumbent
17-2141.00	19630	Evaluate mechanical designs or prototypes for energy performance or environmental impact.	New Green Task	07/2015	Incumbent
17-2141.00	19629	Direct the installation, operation, maintenance, or repair of renewable energy equipment, such as heating, ventilating, and air conditioning (HVAC) or water systems.	New Green Task	07/2015	Incumbent
17-2141.00	19628	Design integrated mechanical or alternative systems, such as mechanical cooling systems with natural ventilation systems, to improve energy efficiency.	New Green Task	07/2015	Incumbent
17-2141.00	1430	Apply engineering principles or practices to emerging fields, such as robotics, waste management, or biomedical engineering.	Existing Green Task	07/2015	Incumbent
17-2141.00	19627	Calculate energy losses for buildings, using equipment such as computers, combustion analyzers, or pressure gauges.	New Green Task	07/2015	Incumbent
17-2141.00	19632	Select or install combined heat units, power units, cogeneration equipment, or trigeneration equipment that reduces energy use or pollution.	New Green Task	07/2015	Incumbent
17-2141.01	19950	Conduct fuel cell testing projects, using fuel cell test stations, analytical instruments, or electrochemical diagnostics, such as cyclic voltammetry or impedance spectroscopy.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16415	Design or implement fuel cell testing or development programs.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16398	Write technical reports or proposals related to engineering projects.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	19946	Plan or implement fuel cell cost reduction or product improvement projects in collaboration with other engineers, suppliers, support personnel, or customers.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16403	Validate design of fuel cells, fuel cell components, or fuel cell systems.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	19951	Define specifications for fuel cell materials.	New Green Task	07/2014	Occupational Expert
17-2141.01	16408	Plan or conduct experiments to validate new materials, optimize startup protocols, reduce conditioning time, or examine contaminant tolerance.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16418	Calculate the efficiency or power output of a fuel cell system or process.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16414	Conduct post-service or failure analyses, using electromechanical diagnostic principles or procedures.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16399	Read current literature, attend meetings or conferences, or talk with colleagues to stay abreast of new technology or competitive products.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	19945	Prepare test stations, instrumentation, or data acquisition systems for use in specific tests of fuel cell components or systems.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16413	Develop fuel cell materials or fuel cell test equipment.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16405	Simulate or model fuel cell, motor, or other system information, using simulation software programs.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16417	Characterize component or fuel cell performances by generating operating maps, defining operating conditions, identifying design refinements, or executing durability assessments.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16412	Fabricate prototypes of fuel cell components, assemblies, stacks, or systems.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16419	Analyze fuel cell or related test data, using statistical software.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16420	Design fuel cell systems, subsystems, stacks, assemblies, or components, such as electric traction motors or power electronics.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16406	Recommend or implement changes to fuel cell system designs.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16407	Provide technical consultation or direction related to the development or production of fuel cell systems.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	19952	Develop or evaluate systems or methods of hydrogen storage for fuel cell applications.	New Green Task	07/2014	Occupational Expert
17-2141.01	19953	Evaluate the power output, system cost, or environmental impact of new hydrogen or non-hydrogen fuel cell system designs.	New Green Task	07/2014	Occupational Expert
17-2141.01	19948	Authorize release of fuel cell parts, components, or subsystems for production.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	19947	Coordinate fuel cell engineering or test schedules with departments outside engineering, such as manufacturing.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16411	Identify or define vehicle and system integration challenges for fuel cell vehicles.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	19949	Manage fuel cell battery hybrid system architecture, including sizing of components, such as fuel cells, energy storage units, or electric drives.	Existing Green Task	07/2014	Occupational Expert
17-2141.01	16410	Integrate electric drive subsystems with other vehicle systems to optimize performance or mitigate faults.	Existing Green Task	07/2014	Occupational Expert
17-2141.02	19635	Design vehicles that use lighter materials, such as aluminum, magnesium alloy, or plastic, to improve fuel efficiency.	New Green Task	07/2014	Occupational Expert
17-2141.02	16437	Design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics.	Existing Green Task	07/2014	Occupational Expert
17-2141.02	19638	Research or implement green automotive technologies involving alternative fuels, electric or hybrid cars, or lighter or more fuel-efficient vehicles.	New Green Task	07/2014	Occupational Expert
17-2141.02	19633	Create design alternatives for vehicle components, such as camless or dual-clutch engines or alternative air-conditioning systems, to increase fuel efficiency.	New Green Task	07/2014	Occupational Expert
17-2141.02	16439	Design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance.	Existing Green Task	07/2014	Occupational Expert
17-2141.02	19636	Develop specifications for vehicles powered by alternative fuels or alternative power methods.	New Green Task	07/2014	Occupational Expert
17-2141.02	19634	Design vehicles for increased recyclability or use of natural, renewable, or recycled materials in vehicle construction.	New Green Task	07/2014	Occupational Expert
17-2141.02	19637	Research computerized automotive applications, such as telemetrics, intelligent transportation systems, artificial intelligence, or automatic control.	New Green Task	07/2014	Occupational Expert
17-2161.00	5387	Write operational instructions to be used in nuclear plant operation or nuclear fuel or waste handling and disposal.	Existing Green Task	06/2010	Occupational Expert
17-2161.00	5382	Perform experiments that will provide information about acceptable methods of nuclear material usage, nuclear fuel reclamation, or waste disposal.	Existing Green Task	06/2010	Occupational Expert
17-2161.00	19639	Conduct environmental studies related to topics such as nuclear power generation, nuclear waste disposal, or nuclear weapon deployment.	New Green Task	07/2011	Analyst
17-2161.00	19640	Design fuel cycle models or processes to reduce the quantity of radioactive waste generated from nuclear activities.	New Green Task	07/2011	Analyst
17-2161.00	19641	Develop or contribute to the development of plans to remediate or restore environments affected by nuclear radiation, such as waste disposal sites.	New Green Task	07/2011	Analyst
17-2161.00	19642	Direct environmental compliance activities associated with nuclear plant operations or maintenance.	New Green Task	07/2011	Analyst
17-2161.00	19643	Prepare environmental impact statements, reports, or presentations for regulatory or other agencies.	New Green Task	07/2011	Analyst
17-2199.01	16459	Devise scalable recovery, purification, or fermentation processes for producing proteins or other biological substances for human or animal therapeutic use, food production or processing, biofuels, or effluent treatment.	Existing Green Task	07/2011	Occupational Expert
17-2199.01	20017	Develop biocatalytic processes to convert biomass to fuels or fine chemicals, using enzymes of bacteria, yeast, or other microorganisms.	New Green Task	07/2011	Occupational Expert
17-2199.01	20019	Develop recovery processes to separate or purify products from fermentation broths or slurries.	New Green Task	07/2011	Occupational Expert
17-2199.01	20025	Design processes to manufacture synthetic molecules for applications such as pharmaceuticals or pesticides.	New Green Task	07/2011	Occupational Expert
17-2199.01	20026	Develop bioremediation processes to reduce pollution, protect the environment, or treat waste products.	New Green Task	07/2011	Occupational Expert
17-2199.01	20028	Develop alternative processes to produce crude oil, such as extraction from diatoms or thermochemical conversion of manure or other wastes.	New Green Task	07/2011	Occupational Expert
17-2199.01	20029	Develop toxicological or environmental testing processes to measure chemical toxicity or environmental impact.	New Green Task	07/2011	Occupational Expert
17-2199.01	20030	Develop processes or products, such as natural recovery monitoring, in situ capping or treatment, or sediment removal, to treat contamination of subaqueous sediment.	New Green Task	07/2011	Occupational Expert
17-2199.01	20031	Create simulations or models to predict the impact of environmental factors, such as pollutants, climate change, or environmental remediation efforts.	New Green Task	07/2011	Occupational Expert
17-2199.01	20032	Design products to measure or monitor airborne pollutants, such as carbon monoxide, nitrogen dioxide, ozone, or particulate matter.	New Green Task	07/2011	Occupational Expert
17-2199.01	19644	Develop experiments to determine production methods that minimize pollution or waste.	New Green Task	07/2011	Analyst
17-2199.01	19645	Review existing biomanufacturing processes to ensure compliance with environmental regulations.	New Green Task	07/2011	Analyst
17-2199.02	19646	Plan or conduct validation testing of alternative energy products, such as synthetic jet fuels or energy storage systems, such as fuel cells.	New Green Task	07/2011	Analyst
17-2199.02	19647	Validate or characterize sustainable or environmentally friendly products, using electronic testing platforms.	New Green Task	07/2011	Analyst
17-2199.03	18155	Identify energy savings opportunities and make recommendations to achieve more energy efficient operation.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18151	Manage the development, design, or construction of energy conservation projects to ensure acceptability of budgets and time lines, conformance to federal and state laws, or adherence to approved specifications.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18160	Conduct energy audits to evaluate energy use, costs, or conservation measures.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18156	Monitor and analyze energy consumption.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18148	Perform energy modeling, measurement, verification, commissioning, or retro-commissioning.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18152	Oversee design or construction aspects related to energy such as energy engineering, energy management, and sustainable design.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18147	Conduct jobsite observations, field inspections, or sub-metering to collect data for energy conservation analyses.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18158	Review architectural, mechanical, or electrical plans and specifications to evaluate energy efficiency or determine economic, service, or engineering feasibility.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18150	Inspect or monitor energy systems, including heating, ventilating, and air conditioning (HVAC) or daylighting systems to determine energy use or potential energy savings.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18153	Direct the work of contractors or staff in the implementation of energy management projects.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18163	Prepare project reports and other program or technical documentation.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18159	Analyze, interpret, or create graphical representations of energy data, using engineering software.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18162	Make recommendations regarding energy fuel selection.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18165	Review or negotiate energy purchase agreements.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18164	Provide consultation to clients or other engineers on topics such as climate control systems, energy modeling, data logging, energy management control systems, lighting or daylighting design, sustainable design, and energy auditing.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18166	Train personnel or clients on topics such as energy management.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18157	Promote awareness or use of alternative or renewable energy sources.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18149	Consult with construction or renovation clients or other engineers on topics such as Leadership in Energy and Environmental Design (LEED) or Green Buildings.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	18161	Conduct research or collect data on renewable or alternative energy systems or technologies such as solar thermal and photovoltaic energy.	Existing Green Task	06/2009	Occupational Expert
17-2199.03	19648	Write or install energy management routines for building automation systems.	New Green Task	07/2011	Analyst
17-2199.04	19649	Analyze the financial impacts of sustainable manufacturing such as by implementing sustainable manufacturing processes or manufacturing sustainable products.	New Green Task	07/2011	Analyst
17-2199.04	19650	Develop sustainable manufacturing technologies to reduce greenhouse gas emissions, minimize raw material use, replace toxic materials with non-toxic materials, replace non-renewable materials with renewable materials, or reduce waste.	New Green Task	07/2011	Analyst
17-2199.04	19651	Evaluate current or proposed manufacturing processes or practices for environmental sustainability, considering factors such as green house gas emissions, air pollution, water pollution, energy use, or waste creation.	New Green Task	07/2011	Analyst
17-2199.04	19652	Redesign packaging for manufactured products to minimize raw material use or waste.	New Green Task	07/2011	Analyst
17-2199.05	19653	Design or develop automated control systems for environmental applications, such as waste processing, air quality, or water quality systems.	New Green Task	07/2011	Analyst
17-2199.05	19654	Design self-monitoring mechanical systems, such as gear systems that monitor loading or condition of systems to detect and prevent failures.	New Green Task	07/2011	Analyst
17-2199.05	19655	Monitor or calibrate automated systems, industrial control systems, or system components to maximize efficiency of production.	New Green Task	07/2011	Analyst
17-2199.06	19656	Consider environmental issues when proposing product designs involving microelectromechanical systems (MEMS) technology.	New Green Task	07/2013	Analyst
17-2199.06	19657	Design or develop energy products using nanomaterials or nanoprocesses, such as micro-nano machining.	New Green Task	07/2013	Analyst
17-2199.06	19658	Design or develop industrial air quality microsystems, such as carbon dioxide fixing devices.	New Green Task	07/2013	Analyst
17-2199.06	19659	Design or develop sensors to reduce the energy or resource requirements to operate appliances, such as washing machines or dishwashing machines.	New Green Task	07/2013	Analyst
17-2199.06	19660	Design sensors or switches that require little or no power to operate for environmental monitoring or industrial metering applications.	New Green Task	07/2013	Analyst
17-2199.06	19661	Research or develop emerging microelectromechanical (MEMS) systems to convert nontraditional energy sources into power, such as ambient energy harvesters that convert environmental vibrations into usable energy.	New Green Task	07/2013	Analyst
