Element ID	Element Name	Scale ID	Anchor Value	Anchor Description
4.A.1.b.2	Inspecting Equipment, Structures, or Material	LV	1	Check that doors to building are locked
4.A.1.b.2	Inspecting Equipment, Structures, or Material	LV	4	Inspect equipment in a chemical processing plant
4.A.1.b.2	Inspecting Equipment, Structures, or Material	LV	6	Inspect a nuclear reactor
4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	LV	2	Estimate the size of household furnishings to be crated
4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	LV	4	Estimate the time required to evacuate a city in the event of a major disaster
4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	LV	6	Estimate the amount of natural resources that lie beneath the world's oceans
4.A.2.a.1	Judging the Qualities of Things, Services, or People	LV	2	Determine whether to remove a tree that has been damaged
4.A.2.a.1	Judging the Qualities of Things, Services, or People	LV	4	Determine the value of property lost in a fire
4.A.2.a.1	Judging the Qualities of Things, Services, or People	LV	6	Establish the value of a recently discovered ancient art work
4.A.2.a.2	Processing Information	LV	2	Tabulate the costs of parcel deliveries
4.A.2.a.2	Processing Information	LV	4	Calculate the adjustments for insurance claims
4.A.2.a.2	Processing Information	LV	6	Compile data for a complex scientific report
4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	LV	1	Review forms for completeness
4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	LV	4	Evaluate a complicated insurance claim for compliance with policy terms
4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	LV	6	Make a ruling in court on a complicated motion
4.A.2.a.4	Analyzing Data or Information	LV	1	Determine the location of a lost order
4.A.2.a.4	Analyzing Data or Information	LV	4	Determine the interest cost to finance a new building
4.A.2.a.4	Analyzing Data or Information	LV	6	Analyze the cost of medical care services for all hospitals in the country
4.A.2.b.1	Making Decisions and Solving Problems	LV	2	Determine the meal selection for a cafeteria
4.A.2.b.1	Making Decisions and Solving Problems	LV	4	Select the location for a major department store
4.A.2.b.1	Making Decisions and Solving Problems	LV	6	Make the final decision about a company's 5-year plan
4.A.2.b.2	Thinking Creatively	LV	1	Change the spacing on a printed report
4.A.2.b.2	Thinking Creatively	LV	4	Adapt popular music for a high school marching band
4.A.2.b.2	Thinking Creatively	LV	6	Create new computer software
4.A.2.b.3	Updating and Using Relevant Knowledge	LV	2	Keep up with price changes in a small retail store
4.A.2.b.3	Updating and Using Relevant Knowledge	LV	4	Keep current on changes in maintenance procedures for repairing sports cars
4.A.2.b.3	Updating and Using Relevant Knowledge	LV	6	Learn information related to a complex and rapidly changing technology
4.A.2.b.4	Developing Objectives and Strategies	LV	2	Plan the holiday schedule for an airline workforce
4.A.2.b.4	Developing Objectives and Strategies	LV	4	Develop the plan to complete the merger of two organizations over a 3-year period
4.A.2.b.4	Developing Objectives and Strategies	LV	6	Develop a 10-year business plan for an organization
4.A.2.b.5	Scheduling Work and Activities	LV	2	Make appointments for patients using a predetermined schedule
4.A.2.b.5	Scheduling Work and Activities	LV	4	Prepare the work schedule for salesclerks in a large retail store
4.A.2.b.5	Scheduling Work and Activities	LV	6	Schedule a complex conference program with multiple, parallel sessions
4.A.2.b.6	Organizing, Planning, and Prioritizing Work	LV	2	Organize a work schedule that is repetitive and easy to plan
4.A.2.b.6	Organizing, Planning, and Prioritizing Work	LV	4	Plan and organize your own activities that often change
4.A.2.b.6	Organizing, Planning, and Prioritizing Work	LV	6	Prioritize and plan multiple tasks several months ahead
4.A.3.a.1	Performing General Physical Activities	LV	1	Walk between work stations in a small office
4.A.3.a.1	Performing General Physical Activities	LV	4	Paint the outside of a house
4.A.3.a.1	Performing General Physical Activities	LV	6	Climb up and down poles to install electricity
4.A.3.a.2	Handling and Moving Objects	LV	2	Change settings on copy machines
4.A.3.a.2	Handling and Moving Objects	LV	4	Arrange books in a library
4.A.3.a.2	Handling and Moving Objects	LV	6	Load boxes on an assembly line
4.A.3.a.3	Controlling Machines and Processes	LV	2	Operate a cash register
4.A.3.a.3	Controlling Machines and Processes	LV	4	Operate a drilling rig
4.A.3.a.3	Controlling Machines and Processes	LV	6	Operate a precision milling machine
4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	LV	2	Drive a car
4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	LV	4	Drive an 18-wheel tractor-trailer
4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	LV	6	Hover a helicopter in strong wind
4.A.3.b.1	Interacting With Computers	LV	2	Enter employee information into a computer database
4.A.3.b.1	Interacting With Computers	LV	4	Write software for keeping track of parts in inventory
4.A.3.b.1	Interacting With Computers	LV	6	Set up a new computer system for a large multinational company
4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	LV	2	Specify the lighting for a work area
4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	LV	4	Specify the furnishings for a new school
4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	LV	6	Draw the electronic circuitry for a high-speed scientific computer
4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	LV	2	Make simple, external adjustments to a door hinge with ordinary hand tools
4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	LV	4	Adjust a grandfather clock
4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	LV	6	Overhaul a power plant turbine
4.A.3.b.5	Repairing and Maintaining Electronic Equipment	LV	1	Use knobs to adjust a television picture
4.A.3.b.5	Repairing and Maintaining Electronic Equipment	LV	4	Make repairs by removing and replacing circuit boards
4.A.3.b.5	Repairing and Maintaining Electronic Equipment	LV	6	Use complex test equipment to calibrate electronic equipment
4.A.3.b.6	Documenting/Recording Information	LV	2	Record the weights of trucks that use the highways
4.A.3.b.6	Documenting/Recording Information	LV	4	Document the results of a crime scene investigation
4.A.3.b.6	Documenting/Recording Information	LV	6	Maintain information about the use of orbiting satellites for private industry communications
4.A.4.a.1	Interpreting the Meaning of Information for Others	LV	1	Interpret a blood pressure reading
4.A.4.a.1	Interpreting the Meaning of Information for Others	LV	4	Interpret how foreign tax laws apply to U.S. exports
4.A.4.a.1	Interpreting the Meaning of Information for Others	LV	6	Interpret a complex experiment in physics for general audiences
4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	LV	1	Write brief notes to others
4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	LV	4	Report the results of a sales meeting to a supervisor
4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	LV	6	Create a videotaped presentation of a company's internal policies
4.A.4.a.3	Communicating with Persons Outside Organization	LV	1	Have little contact with people outside the organization
4.A.4.a.3	Communicating with Persons Outside Organization	LV	4	Make standard presentations about available services
4.A.4.a.3	Communicating with Persons Outside Organization	LV	6	Prepare or deliver press releases
4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	LV	1	Exchange greetings with a coworker
4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	LV	4	Maintain good working relationships with almost all coworkers and clients
4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	LV	7	Gain cooperation from a culturally diverse group of executives hostile to your company
4.A.4.a.5	Assisting and Caring for Others	LV	2	Help a coworker complete an assignment
4.A.4.a.5	Assisting and Caring for Others	LV	4	Assist a stranded traveler in finding lodging
4.A.4.a.5	Assisting and Caring for Others	LV	6	Care for seriously injured persons in an emergency room
4.A.4.a.6	Selling or Influencing Others	LV	1	Convince a coworker to assist with an assignment
4.A.4.a.6	Selling or Influencing Others	LV	4	Deliver standard arguments or sales pitches to convince others to buy popular products
4.A.4.a.6	Selling or Influencing Others	LV	6	Deliver major sales campaign in a new market
4.A.4.a.7	Resolving Conflicts and Negotiating with Others	LV	2	Apologize to a customer who complains about waiting too long
4.A.4.a.7	Resolving Conflicts and Negotiating with Others	LV	4	Get two subordinates to agree about vacation schedules
4.A.4.a.7	Resolving Conflicts and Negotiating with Others	LV	7	Negotiate a major labor-management contract
4.A.4.a.8	Performing for or Working Directly with the Public	LV	1	Tend a highway toll booth
4.A.4.a.8	Performing for or Working Directly with the Public	LV	4	Sell shoes in a popular shoe store
4.A.4.a.8	Performing for or Working Directly with the Public	LV	6	Perform a monologue on national TV
4.A.4.b.1	Coordinating the Work and Activities of Others	LV	2	Exchange information during a shift change
4.A.4.b.1	Coordinating the Work and Activities of Others	LV	4	Organize the cleanup crew after a major sporting event
4.A.4.b.1	Coordinating the Work and Activities of Others	LV	7	Act as general contractor for building a large industrial complex
4.A.4.b.2	Developing and Building Teams	LV	1	Encourage two coworkers to stick with a tough assignment
4.A.4.b.2	Developing and Building Teams	LV	4	Lead an assembly team in an automobile plant
4.A.4.b.2	Developing and Building Teams	LV	6	Lead a large team to design and build a new aircraft
4.A.4.b.3	Training and Teaching Others	LV	2	Give coworkers brief instructions on a simple procedural change
4.A.4.b.3	Training and Teaching Others	LV	4	Teach a social sciences course to high school students
4.A.4.b.3	Training and Teaching Others	LV	6	Develop and conduct training programs for a medical school
4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	LV	2	Work occasionally as a backup supervisor
4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	LV	4	Supervise a small number of subordinates in a well-paid industry
4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	LV	7	Manage a severely downsized unit
4.A.4.b.5	Coaching and Developing Others	LV	2	Show a coworker how to operate a piece of equipment
4.A.4.b.5	Coaching and Developing Others	LV	4	Provide on-the-job training for clerical workers
4.A.4.b.5	Coaching and Developing Others	LV	6	Coach a college athletic team
4.A.4.b.6	Provide Consultation and Advice to Others	LV	1	Work in a position that requires little advising of others
4.A.4.b.6	Provide Consultation and Advice to Others	LV	4	Recommend a new software package to increase operational efficiency
4.A.4.b.6	Provide Consultation and Advice to Others	LV	7	Provide ideas for changing an organization to increase profitability
4.A.4.c.1	Performing Administrative Activities	LV	2	Complete routine paperwork on standard forms
4.A.4.c.1	Performing Administrative Activities	LV	4	Complete tax forms required of self-employed people
4.A.4.c.1	Performing Administrative Activities	LV	6	Serve as the benefits director for a large computer sales organization
4.A.4.c.2	Staffing Organizational Units	LV	1	Work in a position that has minimal staffing requirements
4.A.4.c.2	Staffing Organizational Units	LV	4	Interview candidates for a sales position and make hiring recommendations
4.A.4.c.2	Staffing Organizational Units	LV	7	Direct a large recruiting and employment program for a large international manufacturing organization
4.A.4.c.3	Monitoring and Controlling Resources	LV	2	Work as a housekeeper responsible for keeping track of linens
4.A.4.c.3	Monitoring and Controlling Resources	LV	4	Work as a chef responsible for ordering food for the menu
4.A.4.c.3	Monitoring and Controlling Resources	LV	6	Serve as a financial executive in charge of a large company's budget
